locationId,latitude,longitude,fieldvisitId,activityYear,taxon,SumOfcount,length_mm,SumOfdeltCount,indexClass
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus columbianus,1,165,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus columbianus,1,220,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus columbianus,1,280,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus columbianus,1,295,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus macrocheilus,1,80,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus macrocheilus,1,110,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus macrocheilus,1,205,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus macrocheilus,1,215,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus macrocheilus,1,220,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus macrocheilus,1,400,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus macrocheilus,1,500,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Catostomus macrocheilus,2,560,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,131,0,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,34,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,36,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,37,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,38,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,40,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,41,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,42,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,43,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,60,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,2,62,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,63,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,2,67,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,69,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,71,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,2,73,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,74,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,75,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,76,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,77,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,2,81,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,82,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,85,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,2,89,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,90,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,92,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,96,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,97,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,99,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,2,100,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,2,102,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,106,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus confusus,1,114,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus hubbsi,17,0,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus hubbsi,1,86,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Cottus hubbsi,1,96,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,80,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,85,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,92,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,95,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,98,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,100,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,105,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,110,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,150,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,180,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,185,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,195,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,200,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,9,225,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,230,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,4,235,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,240,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,3,245,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,5,250,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,255,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,3,260,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,4,265,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,270,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,275,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,280,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,3,285,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,3,290,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,295,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,3,305,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,2,310,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,320,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,330,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,370,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,415,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,420,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,450,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Oncorhynchus mykiss,1,465,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,70,0,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,85,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,110,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,150,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,4,155,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,4,160,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,165,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,6,170,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,3,180,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,185,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,215,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,225,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,240,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,245,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,250,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,3,255,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,260,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,5,265,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,4,270,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,4,275,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,4,280,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,3,285,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,3,295,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,2,300,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,2,305,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,310,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,315,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,320,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,2,330,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,355,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,2,365,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,375,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,385,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,2,405,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,410,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,415,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,425,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,4,430,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,4,435,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,4,440,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,445,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,2,450,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Prosopium williamsoni,1,470,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Ptychocheilus oregonensis,1,445,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Ptychocheilus oregonensis,1,455,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Ptychocheilus oregonensis,1,465,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Ptychocheilus oregonensis,1,505,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Ptychocheilus oregonensis,1,520,0,Main_Eckert
13203760,43.56572358,-116.1320577,BREck2014,2014,Rhinichthys falcatus,2,0,0,Main_Eckert
